"country","Year","Age","ex","Sex","edagg_1","edagg_2","edagg_3","edagg_4","edagg_5","H_1","H_2","H_3","H_4","H_5","gain_1","gain_2","gain_3","gain_4","gain_5","span_1","span_2","span_3","span_4","span_5"
"Czechia",1950,0,66.83,"Women",14.9,5.78,3.75,2.91,2.41,0.22,0.09,0.06,0.04,0.04,14.7,6.01,4.01,2.67,2.67,81.53,87.54,91.55,94.22,96.89
"Czechia",1950,0,61.95,"Men",16.41,6.51,4.03,3,2.43,0.26,0.1,0.06,0.05,0.04,16.11,6.2,3.72,3.1,2.48,78.06,84.26,87.98,91.08,93.56
"Czechia",2017,0,81.86,"Women",8.93,4.18,2.86,2.24,1.88,0.11,0.05,0.03,0.03,0.02,9,4.09,2.46,2.46,1.64,90.86,94.95,97.41,99.87,101.51
"Czechia",2017,0,76.01,"Men",10.71,5.11,3.37,2.57,2.12,0.14,0.07,0.04,0.03,0.03,10.64,5.32,3.04,2.28,2.28,86.65,91.97,95.01,97.29,99.57
"Italy",1900,0,41.98,"Women",25.51,11.31,5.8,3.89,3.06,0.6,0.27,0.14,0.09,0.07,25.19,11.33,5.88,3.78,2.94,67.17,78.5,84.38,88.16,91.1
"Italy",1900,0,41.75,"Men",25.57,11.43,5.96,4.09,3.31,0.6,0.27,0.14,0.1,0.08,25.05,11.27,5.85,4.18,3.34,66.8,78.07,83.92,88.1,91.44
"Italy",1950,0,67.43,"Women",15.65,5.9,3.78,2.92,2.42,0.23,0.09,0.06,0.04,0.04,15.51,6.07,4.05,2.7,2.7,82.94,89.01,93.06,95.76,98.46
"Italy",1950,0,63.94,"Men",16.71,6.31,3.84,2.87,2.34,0.26,0.1,0.06,0.04,0.04,16.62,6.39,3.84,2.56,2.56,80.56,86.95,90.79,93.35,95.91
"Italy",2017,0,84.86,"Women",8.54,3.97,2.75,2.16,1.79,0.1,0.05,0.03,0.03,0.02,8.49,4.24,2.55,2.55,1.7,93.35,97.59,100.14,102.69,104.39
"Italy",2017,0,80.45,"Men",9.63,4.42,2.98,2.32,1.93,0.12,0.05,0.04,0.03,0.02,9.65,4.02,3.22,2.41,1.61,90.1,94.12,97.34,99.75,101.36
"Japan",1950,0,60.88,"Women",18.36,7.06,4.15,3.05,2.46,0.3,0.12,0.07,0.05,0.04,18.26,7.31,4.26,3.04,2.44,79.14,86.45,90.71,93.75,96.19
"Japan",1950,0,57.57,"Men",18.22,7.32,4.38,3.2,2.56,0.31,0.13,0.08,0.06,0.04,17.85,7.48,4.61,3.45,2.3,75.42,82.9,87.51,90.96,93.26
"Japan",2017,0,87.26,"Women",8.62,3.94,2.69,2.06,1.64,0.1,0.04,0.03,0.02,0.02,8.73,3.49,2.62,1.75,1.75,95.99,99.48,102.1,103.85,105.6
"Japan",2017,0,81.07,"Men",9.89,4.61,3.1,2.4,1.98,0.12,0.06,0.04,0.03,0.02,9.73,4.86,3.24,2.43,1.62,90.8,95.66,98.9,101.33,102.95
"Sweden",1850,0,47.29,"Women",23.75,9.99,5.24,3.49,2.67,0.5,0.21,0.11,0.07,0.06,23.64,9.93,5.2,3.31,2.84,70.93,80.86,86.06,89.37,92.21
"Sweden",1850,0,42.17,"Men",24.17,11.18,6.02,3.97,3,0.57,0.26,0.14,0.09,0.07,24.04,10.96,5.9,3.8,2.95,66.21,77.17,83.07,86.87,89.82
"Sweden",1900,0,53.63,"Women",22.45,8.61,4.48,3.07,2.42,0.41,0.16,0.08,0.06,0.04,21.99,8.58,4.29,3.22,2.15,75.62,84.2,88.49,91.71,93.86
"Sweden",1900,0,50.8,"Men",22.84,9.08,4.67,3.11,2.39,0.45,0.18,0.09,0.06,0.05,22.86,9.14,4.57,3.05,2.54,73.66,82.8,87.37,90.42,92.96
"Sweden",1950,0,72.44,"Women",11.57,5.05,3.43,2.69,2.24,0.16,0.07,0.05,0.04,0.03,11.59,5.07,3.62,2.9,2.17,84.03,89.1,92.72,95.62,97.79
"Sweden",1950,0,69.85,"Men",12.69,5.34,3.51,2.69,2.22,0.18,0.08,0.05,0.04,0.03,12.57,5.59,3.49,2.79,2.1,82.42,88.01,91.5,94.29,96.39
"Sweden",2017,0,84.12,"Women",8.72,4.06,2.78,2.17,1.81,0.1,0.05,0.03,0.03,0.02,8.41,4.21,2.52,2.52,1.68,92.53,96.74,99.26,101.78,103.46
"Sweden",2017,0,80.73,"Men",9.42,4.26,2.87,2.24,1.87,0.12,0.05,0.04,0.03,0.02,9.69,4.04,3.23,2.42,1.61,90.42,94.46,97.69,100.11,101.72
