"country","Sex","1850","1900","1950","1960","1975","2000","2003","2017"
"Australia","Women",NA,NA,71.72,NA,NA,82.27,NA,84.81
"Australia","Men",NA,NA,66.51,NA,NA,76.95,NA,80.73
"Belgium","Women",42.13,48.51,68.89,NA,NA,80.9,NA,83.65
"Belgium","Men",42.46,44.98,63.81,NA,NA,74.57,NA,79
"Canada","Women",NA,NA,70.58,NA,NA,81.77,NA,84.11
"Canada","Men",NA,NA,66.15,NA,NA,76.58,NA,79.89
"Switzerland","Women",NA,48.94,71.09,NA,NA,82.56,NA,85.36
"Switzerland","Men",NA,46.26,66.65,NA,NA,76.92,NA,81.37
"Denmark","Women",45.18,53.57,71.52,NA,NA,79.12,NA,83.12
"Denmark","Men",41.91,50.25,69.11,NA,NA,74.44,NA,79.1
"Finland","Women",NA,43.24,67.92,NA,NA,81.02,NA,84.22
"Finland","Men",NA,40.41,60.38,NA,NA,74.16,NA,78.72
"France","Women",44,46.95,69.19,NA,NA,82.8,NA,85.35
"France","Men",42.63,43.34,63.43,NA,NA,75.24,NA,79.44
"England & Wales","Women",43.66,48.25,71.31,NA,NA,80.37,NA,83.2
"England & Wales","Men",41.86,44.39,66.52,NA,NA,75.62,NA,79.54
"Norway","Women",51.28,55.14,73.25,NA,NA,81.37,NA,84.28
"Norway","Men",47.78,51.77,69.92,NA,NA,75.95,NA,80.92
"New Zealand","Women",NA,NA,71.24,NA,NA,81.21,NA,NA
"New Zealand","Men",NA,NA,67.41,NA,NA,76.05,NA,NA
"Sweden","Women",47.29,53.63,72.44,NA,NA,82.02,NA,84.12
"Sweden","Men",42.17,50.8,69.85,NA,NA,77.38,NA,80.73
"Austria","Women",NA,NA,67.28,NA,NA,81.09,NA,83.9
"Austria","Men",NA,NA,62.18,NA,NA,75.1,NA,79.28
"Chile","Women",NA,NA,NA,NA,NA,79.93,NA,82.25
"Chile","Men",NA,NA,NA,NA,NA,73.71,NA,77.1
"Germany","Women",NA,NA,NA,NA,NA,80.99,NA,83.29
"Germany","Men",NA,NA,NA,NA,NA,74.86,NA,78.56
"West Germany","Women",NA,NA,NA,NA,NA,81.07,NA,83.28
"West Germany","Men",NA,NA,NA,NA,NA,75.14,NA,78.81
"Spain","Women",NA,NA,64.16,NA,NA,82.85,NA,85.67
"Spain","Men",NA,NA,59.29,NA,NA,75.97,NA,80.32
"Greece","Women",NA,NA,NA,NA,NA,81.18,NA,83.75
"Greece","Men",NA,NA,NA,NA,NA,75.52,NA,78.61
"Ireland","Women",NA,NA,66.73,NA,NA,79.19,NA,83.73
"Ireland","Men",NA,NA,64.5,NA,NA,73.94,NA,80.1
"Iceland","Women",NA,49.56,73.52,NA,NA,81.53,NA,84.07
"Iceland","Men",NA,43.68,68.58,NA,NA,77.84,NA,80.79
"Israel","Women",NA,NA,NA,NA,NA,80.92,NA,NA
"Israel","Men",NA,NA,NA,NA,NA,76.64,NA,NA
"Italy","Women",NA,41.98,67.43,NA,NA,82.5,NA,84.86
"Italy","Men",NA,41.75,63.94,NA,NA,76.53,NA,80.45
"Luxembourg","Women",NA,NA,NA,NA,NA,80.82,NA,83.9
"Luxembourg","Men",NA,NA,NA,NA,NA,74.51,NA,79.59
"Netherlands","Women",NA,49.9,72.59,NA,NA,80.56,NA,83.32
"Netherlands","Men",NA,47.12,70.31,NA,NA,75.53,NA,80.07
"Portugal","Women",NA,NA,61.02,NA,NA,80.35,NA,84.38
"Portugal","Men",NA,NA,55.78,NA,NA,73.27,NA,78.4
"Taiwan","Women",NA,NA,NA,NA,NA,79.24,NA,83.29
"Taiwan","Men",NA,NA,NA,NA,NA,73.43,NA,77.11
"USA","Women",NA,NA,71.01,NA,NA,79.43,NA,81.36
"USA","Men",NA,NA,65.4,NA,NA,74.12,NA,76.31
"Bulgaria","Women",NA,NA,NA,70.92,NA,75.01,NA,78.34
"Bulgaria","Men",NA,NA,NA,67.45,NA,68.3,NA,71.37
"Belarus","Women",NA,NA,NA,74.81,NA,74.66,NA,79.22
"Belarus","Men",NA,NA,NA,67.92,NA,63.3,NA,69.27
"Czechia","Women",NA,NA,NA,73.34,NA,78.33,NA,81.86
"Czechia","Men",NA,NA,NA,67.49,NA,71.55,NA,76.01
"East Germany","Women",NA,NA,NA,71.3,NA,80.68,NA,83.32
"East Germany","Men",NA,NA,NA,66.48,NA,73.72,NA,77.66
"Estonia","Women",NA,NA,NA,73.02,NA,76.32,NA,82.29
"Estonia","Men",NA,NA,NA,64.68,NA,65.6,NA,73.67
"Croatia","Women",NA,NA,NA,NA,NA,NA,NA,80.87
"Croatia","Men",NA,NA,NA,NA,NA,NA,NA,74.87
"Hungary","Women",NA,NA,NA,70.17,NA,76.03,NA,79.27
"Hungary","Men",NA,NA,NA,65.92,NA,67.49,NA,72.55
"Lithuania","Women",NA,NA,NA,73.02,NA,77.37,NA,80.37
"Lithuania","Men",NA,NA,NA,66.99,NA,66.74,NA,70.71
"Latvia","Women",NA,NA,NA,73.51,NA,75.7,NA,79.53
"Latvia","Men",NA,NA,NA,66.28,NA,64.53,NA,69.8
"Poland","Women",NA,NA,NA,70.63,NA,77.93,NA,81.54
"Poland","Men",NA,NA,NA,64.81,NA,69.52,NA,73.85
"Russia","Women",NA,NA,NA,72.31,NA,72.23,NA,NA
"Russia","Men",NA,NA,NA,63.67,NA,58.98,NA,NA
"Slovakia","Women",NA,NA,NA,72.53,NA,77.3,NA,80.58
"Slovakia","Men",NA,NA,NA,68.12,NA,69,NA,73.76
"Slovenia","Women",NA,NA,NA,NA,NA,79.74,NA,83.68
"Slovenia","Men",NA,NA,NA,NA,NA,72.17,NA,78.08
"Ukraine","Women",NA,NA,NA,73.8,NA,73.52,NA,NA
"Ukraine","Men",NA,NA,NA,67.39,NA,62.08,NA,NA
"Hong Kong","Women",NA,NA,NA,NA,NA,NA,84.09,87.67
"Hong Kong","Men",NA,NA,NA,NA,NA,NA,78.12,81.74
"Japan","Women",NA,NA,60.88,NA,76.88,NA,85.25,87.26
"Japan","Men",NA,NA,57.57,NA,71.75,NA,78.32,81.07
"Korea","Women",NA,NA,NA,NA,NA,NA,80.71,85.77
"Korea","Men",NA,NA,NA,NA,NA,NA,73.75,79.73
